Documents,ISBN,Title,Author,Year Pub,Req-Rec   
0,9780071462099,EASY ARABIC SCRIPT,WIGHTWICK,2006,REQ,
0,9781259354311,MANAGERIAL ECONOMICS & BUSINESS STRATEGY,BAYE,N/A,REQ,
1,9781259277177,INVESTMENTS,BODIE,2018,CHC,
1,9780134112831,CHEMISTRY: MOLECULAR APPROACH (W/OUT ACCESSCODE),TRO,2017,CHC,
0,9781501143311,BULLSHIT JOBS,GRAEBER,2018,REQ,
2,9780815344308,MOLECULAR DRIVING FORCES,DILL,2011,REQ,
1,9781464187025,MICROECONOMICS,GOOLSBEE,2016,REQ,
1,9781464187025,MICROECONOMICS,GOOLSBEE,2016,REQ,
0,9781259357480,INVESTMENTS,BODIE,N/A,CHC,
0,9781446200469,DISCOVERING STATISTICS USING R,FIELD,2012,REQ,
1,9781351851282,GENOMES 4,BROWN,N/A,REC,
1,9780137085248,DEVELOPING ACADEMIC LANGUAGE WITH THE SIOP MODEL,SHORT,2016,REQ,
1,9780123948113,INTRO TO PROB & STAT FOR ENG & SCI,ROSS,2015,CHC,
2,9781559361354,VENUS,PARKS,1997,REQ,
1,9781259290619,MANAGERIAL ECONOMICS ETC (W/OUT ACCESS CODE),BAYE,2016,REQ,
1,9780134461991,INTRO TO ECONOMETRICS,STOCK,2019,REQ,
1,9780134112831,CHEMISTRY: MOLECULAR APPROACH (W/OUT ACCESSCODE),TRO,2017,CHC,
2,9780230205246,THEATRE & HUMAN RIGHTS,RAE,2009,REQ,
1,9781849437783,BAGHDAD WEDDING,ABDULRAZZAK,N/A,REQ,
0,9781260864595,DISCRETE MATHEMATHICS & ITS APPLICATION (LOOSE PGS),ROSEN,2019,CHC,
1,9780393934359,ECONOMICS OF DEVELOPMENT,PERKINS,2013,REQ,
0,9781250112880,ELOQUENT RAGE,COOPER,2019,REQ,
0,9781400842476,MACROECONOMIC THEORY,WICKENS,N/A,REQ,
0,9781319284367,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (TWENTY-FOUR MONTHS ACCESS),MORRIS,N/A,CHC,
0,9780679745426,PLAYING IN THE DARK,MORRISON,1992,REQ,
0,9781319284367,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (TWENTY-FOUR MONTHS ACCESS),MORRIS,N/A,CHC,
0,9781319376826,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (12 MTHS ACCESS),MORRIS,N/A,CHC,
1,9781118250303,INDUSTRIAL ORGANIZATION,PEPALL,2013,REQ,
0,9781319392833,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (6 MTHS ACCESS),MORRIS,N/A,CHC,
0,9781319068905,INTERNATIONAL TRADE,TAYLOR,N/A,REQ,
0,9781319376826,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (12 MTHS ACCESS),MORRIS,N/A,CHC,
1,9781118476031,INDUSTRIAL ORGANIZATION,NORMAN,N/A,REQ,
0,9781319376826,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (12 MTHS ACCESS),MORRIS,N/A,CHC,
0,9781319392833,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (6 MTHS ACCESS),MORRIS,N/A,CHC,
1,9781319061739,INTERNATIONAL TRADE,FEENSTRA,2017,REQ,
0,9781319029555,LABORATORY TECHNIQUES IN ORGANIC CHEMISTRY,ALBERG,N/A,REQ,
0,9780197546185,MICROECONOMIC THEORY,MAS-COLELL,N/A,REQ,
0,9780134733821,ECONOMICS OF MONEY, BANKING & FINANCIAL MARKETS,MISHKIN,2019,REQ,
2,9781400873548,THE MUSHROOM AT THE END OF THE WORLD,TSING,N/A,REQ,
0,9781319029555,LABORATORY TECHNIQUES IN ORGANIC CHEMISTRY,ALBERG,N/A,REQ,
0,9781319284367,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (TWENTY-FOUR MONTHS ACCESS),MORRIS,N/A,CHC,
0,9781319284367,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (TWENTY-FOUR MONTHS ACCESS),MORRIS,N/A,CHC,
0,9780486812069,A VOICE FROM THE SOUTH,COOPER,N/A,REQ,
2,9781840027839,BAGHDAD WEDDING,ABDULRAZZAK,2007,REQ,
2,9780691017068,DEVELOPMENT ECONOMICS,RAY,1998,REQ,
2,9780520325791,COLONIAL MIGRANTS AT THE HEART OF EMPIRE,GARCIA-COLON,2020,REQ,
0,9781319376826,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (12 MTHS ACCESS),MORRIS,N/A,CHC,
0,9781930882744,LAB NOTEBOOK 100 CARBON DUPLICATE SETS SPIRAL BOUND,HAYDEN,2000,REQ,
1,9780072311358,BUSINESS DYNAMICS (W/OUT CD),STERMAN,2000,REQ,
3,9780520278431,HAUNTING IMAGES,GAMMELTOFT,2014,REQ,
0,9781930882744,LAB NOTEBOOK 100 CARBON DUPLICATE SETS SPIRAL BOUND,HAYDEN,2000,REQ,
0,9781319029555,LABORATORY TECHNIQUES IN ORGANIC CHEMISTRY,ALBERG,N/A,REQ,
